GISJOIN,POP20,BASENAME,State,NAME,STATE,url
G35064930,48422,Roswell,NM,Roswell city,New Mexico,https://www.roswell-nm.gov/
G40070300,48394,Stillwater,OK,Stillwater city,Oklahoma,http://stillwater.org/
G55084675,48387,Wauwatosa,WI,Wauwatosa city,Wisconsin,https://www.wauwatosa.net/
G38053380,48377,Minot,ND,Minot city,North Dakota,https://www.minotnd.org/
G51044984,48250,Leesburg,VA,Leesburg town,Virginia,https://www.leesburgva.gov/
G53007380,48161,Bothell,WA,Bothell city,Washington,http://www.ci.bothell.wa.us/
G06040032,48008,La Mirada,CA,La Mirada city,California,https://www.cityoflamirada.org/
G36006607,47969,Binghamton,NY,Binghamton city,New York,http://binghamton-ny.gov/
G06059587,47949,Rancho Santa Margarita,CA,Rancho Santa Margarita city,California,https://www.cityofrsm.org/
G37074540,47851,Wilson,NC,Wilson city,North Carolina,https://www.wilsonnc.org/
G26024120,47741,East Lansing,MI,East Lansing city,Michigan,https://www.cityofeastlansing.com/
G09047290,47717,Middletown,CT,Middletown city,Connecticut,https://www.middletownct.gov/
G26069800,47710,Roseville,MI,Roseville city,Michigan,https://www.roseville-mi.gov/
G22051410,47702,Monroe,LA,Monroe city,Louisiana,https://monroela.us/
G48011428,47641,Burleson,TX,Burleson city,Texas,https://www.burlesontx.com/
G37070540,47601,Wake Forest,NC,Wake Forest town,North Carolina,https://www.wakeforestnc.gov/
G39047138,47534,Mansfield,OH,Mansfield city,Ohio,https://ci.mansfield.oh.us/
G06050916,47529,Newark,CA,Newark city,California,https://www.newark.org/
G39049056,47450,Mentor,OH,Mentor city,Ohio,https://cityofmentor.com/
G47015400,47356,Cleveland,TN,Cleveland city,Tennessee,https://clevelandtn.gov/
G06008100,47325,Brea,CA,Brea city,California,https://www.ci.brea.ca.us/
G12024300,47297,Fort Pierce,FL,Fort Pierce city,Florida,https://www.cityoffortpierce.com/
G12051075,47295,Ocoee,FL,Ocoee city,Florida,https://www.ocoee.org/
G48062828,47251,Rockwall,TX,Rockwall city,Texas,http://www.rockwall.com/
G44022960,47139,East Providence,RI,East Providence city,Rhode Island,http://www.eastprovidence.com/
G04051600,47070,Oro Valley,AZ,Oro Valley town,Arizona,https://www.orovalleyaz.gov/
G06068154,47063,San Luis Obispo,CA,San Luis Obispo city,California,https://www.slocity.org/
G12078250,46964,Winter Garden,FL,Winter Garden city,Florida,https://www.cwgdn.com/
G20062700,46889,Salina,KS,Salina city,Kansas,http://salina.ks.us/
G54039460,46842,Huntington,WV,Huntington city,West Virginia,https://www.cityofhuntington.com/
G04057450,46785,Prescott Valley,AZ,Prescott Valley town,Arizona,https://www.pvaz.net/
G35025800,46624,Farmington,NM,Farmington city,New Mexico,https://www.fmtn.org/
G51014968,46553,Charlottesville,VA,Charlottesville city,Virginia,https://www.charlottesville.gov/
G39004720,46549,Beavercreek,OH,Beavercreek city,Ohio,https://www.beavercreekohio.gov/
G39075098,46491,Strongsville,OH,Strongsville city,Ohio,https://www.strongsville.org/
G25002690,46461,Attleboro,MA,Attleboro city,Massachusetts,https://www.cityofattleboro.us/
G48043012,46453,Little Elm,TX,Little Elm city,Texas,https://www.littleelm.org/
G18082700,46410,Westfield,IN,Westfield city,Indiana,https://www.westfield.in.gov/
G12000950,46231,Altamonte Springs,FL,Altamonte Springs city,Florida,https://www.altamonte.org/
G48031928,46073,Haltom City,TX,Haltom City city,Texas,https://www.haltomcitytx.com/
G34028680,46030,Hackensack,NJ,Hackensack city,New Jersey,http://www.hackensack.org/
G45029815,45946,Goose Creek,SC,Goose Creek city,South Carolina,https://www.cityofgoosecreek.com/
G48035528,45941,Huntsville,TX,Huntsville city,Texas,https://www.huntsvilletx.gov/
