"GISJOIN","POP20","BASENAME","State","smart","INTPTLAT","INTPTLON","green_commute","bachelor","poverty","income","no_insurance","internet","unemp","gini"
"G08041835",30411,"Lafayette","CO",0,39.9948143,-105.0996758,15.975563192058,63.0924448615673,5.30416305973086,59338,4.24504909577809,95.3647595813331,3.67150293498726,0.4354
"G08042055",730,"La Jara","CO",0,37.2735236,-105.9597208,17.1296296296296,19.6969696969697,19.4029850746269,23686,6.2780269058296,71.6417910447761,15.1408450704225,0.4054
"G08042110",7322,"La Junta","CO",0,37.9794141,-103.5473359,20.1555869872702,18.6156576612108,20.8307501549907,28147,5.12073272273106,80.9671419714817,6.01127113337508,0.4109
"G08042330",432,"Lake City","CO",0,38.0216051,-107.3107059,42.7083333333333,40.8740359897172,5.13833992094862,46390,17.8494623655914,87.3517786561265,1.38888888888889,0.4438
"G08042495",16,"Lakeside","CO",0,39.7790753,-105.057825,40,0,28.5714285714286,30971,0,28.5714285714286,0,0.1985
"G08043000",155984,"Lakewood","CO",0,39.6989385,-105.1175735,14.3987652588747,44.3830300939898,8.65645784087739,48299,7.54302121798064,92.1642612793822,4.35360256494719,0.4365
"G08043110",7687,"Lamar","CO",0,38.0759713,-102.6147233,5.82860743541273,18.8911245249273,19.7077690662865,28287,10.2364284770836,83.2145402708482,5.94972067039106,0.5308
"G08043550",206,"Larkspur","CO",0,39.2295733,-104.885679,18.0555555555556,41.6149068322981,7.69230769230769,35074,6.04395604395604,95.6043956043956,0,0.3269
"G08043605",2359,"La Salle","CO",0,40.348469,-104.706139,11.1111111111111,19.821328866555,6.55567117585848,39024,6.78496868475992,94.6930280957336,1.55038759689922,0.3939
"G08043660",2300,"Las Animas","CO",0,38.0696677,-103.2232289,13.5593220338983,13.2256134051466,34.5226615236258,21139,7.35729386892178,82.4493731918997,10.3448275862069,0.4127
"G08044100",862,"La Veta","CO",0,37.5085623,-105.0084866,4.90566037735849,31.1756935270806,15.421686746988,32712,2.16867469879518,68.1927710843374,2.01729106628242,0.4382
"G08044320",2633,"Leadville","CO",0,39.247277,-106.2934602,30.4778554778555,57.9381443298969,14.4262295081967,53598,4.55430128454652,83.0327868852459,2.26104830421377,0.3923
"G08044980",2043,"Limon","CO",0,39.2650738,-103.6859106,9.20716112531969,35.6152512998267,13.7339055793991,35482,9.2372288313506,76.3948497854077,1.87793427230047,0.4608
"G08045255",45652,"Littleton","CO",0,39.5903751,-105.0200838,15.2013147082991,55.9899924361436,9.20230423745362,55197,6.50816575936007,93.1214606522164,3.88551090019279,0.4648
"G08045530",8088,"Lochbuie","CO",0,40.0091408,-104.7265046,13.5559921414538,14.5704334365325,5.56533990841846,34226,14.2659801582318,92.7791475871786,2.30040595399188,0.2776
"G08045695",913,"Log Lane Village","CO",0,40.2697341,-103.8289605,20.7650273224044,3.69515011547344,12.8571428571429,24262,12.3762376237624,87.5,4.72813238770686,0.3323
"G08045955",14253,"Lone Tree","CO",1,39.530855,-104.8709622,12.4939073923639,71.2670565302144,4.6567069294342,81775,4.2180774748924,96.4717101080738,4.10274291027429,0.4717
"G08045970",98885,"Longmont","CO",1,40.1681989,-105.1005223,15.180472003702,46.0295922049802,9.28916597811663,45482,6.728176738941,92.6387741305491,4.07416091041896,0.4155
"G08046355",21226,"Louisville","CO",0,39.9695757,-105.1432708,19.8333116291184,65.8833462323225,5.50390479732242,65907,1.91165821868211,93.7523242841205,3.2146261155879,0.4243
"G08046465",76378,"Loveland","CO",0,40.4169053,-105.0631107,10.29371059511,39.5185171644792,7.99975849785667,42119,7.11983900456417,91.5564813137717,4.38251902774368,0.4044
"G08047070",2209,"Lyons","CO",0,40.2230503,-105.2686649,25.037037037037,78.3664459161148,9.98719590268886,58992,0.568181818181818,98.3354673495518,3.37909186906019,0.4033
"G08048060",947,"Manassa","CO",0,37.1738412,-105.9372749,22.969837587007,22.8125,16.5760869565217,30459,12.6068376068376,74.4565217391304,2.75423728813559,0.433
"G08048115",1196,"Mancos","CO",0,37.3466252,-108.2938931,19.1699604743083,43.2402234636872,11.1111111111111,34914,5.44600938967136,76.7676767676768,1.52801358234295,0.3861
"G08048445",4858,"Manitou Springs","CO",1,38.8575405,-104.91286,14.0235294117647,55.5221432476763,11.409110259685,55929,4.40446650124069,90.676883780332,11.7590822179732,0.5112
"G08048500",341,"Manzanola","CO",0,38.1087581,-103.8668039,21.5384615384615,12.2112211221122,7.82122905027933,22880,28.1059063136456,83.7988826815643,4.40251572327044,0.4422
"G08048555",133,"Marble","CO",0,39.0716645,-107.190749,34,48.993288590604,1.17647058823529,66747,5.23560209424084,78.8235294117647,0.952380952380952,0.3546
"G08049600",4781,"Mead","CO",0,40.2270022,-104.98832,4.23467137185708,42.9451632778805,2.86225402504472,46763,9.53033268101761,92.9039952295766,2.61798139855322,0.3684
"G08049875",2374,"Meeker","CO",0,40.0499535,-107.8945842,14.702581369248,35.4545454545455,8.08270676691729,28962,11.6995073891626,92.0112781954887,0.738688827331487,0.3254
"G08050040",281,"Merino","CO",0,40.4837051,-103.3536746,8.44155844155844,13.5483870967742,11.3636363636364,32751,7.43494423791822,92.4242424242424,2.33918128654971,0.4285
"G08050480",8386,"Milliken","CO",0,40.3105095,-104.8584124,17.8142329020333,31.1928078343233,1.4143362262938,41822,5.34486845223987,91.9318547090968,2.92316808216472,0.3594
"G08050920",1033,"Minturn","CO",0,39.5356174,-106.38173,24.5353159851301,58.9514066496164,14.2487046632124,49602,14.7239263803681,95.3367875647668,5.89147286821705,0.4449
"G08051250",108,"Moffat","CO",0,38.0026667,-105.9065209,0,38,22.5806451612903,30248,11.1111111111111,96.7741935483871,10.8108108108108,0.3999
"G08051635",4247,"Monte Vista","CO",0,37.5785402,-106.1499146,16.9609079445145,30.0875656742557,24.1116751269036,27453,20.1106567235987,76.2690355329949,8.3088954056696,0.3651
"G08051690",74,"Montezuma","CO",0,39.581483,-105.8676525,64.8148148148148,32.8767123287671,20,40883,1.69491525423729,64.4444444444444,21.3333333333333,0.4594
"G08051745",20291,"Montrose","CO",0,38.4689185,-107.8590132,15.2797105482883,31.6679936305732,13.8816568047337,36241,11.6890881913303,85.1479289940828,5.06902014030324,0.4767
"G08051800",10399,"Monument","CO",1,39.0744062,-104.844221,15.3475393201421,54.6021377672209,7.34597156398104,44556,6.41148325358852,93.7862032648762,4.84279002529816,0.4039
"G08052075",396,"Morrison","CO",0,39.636357,-105.2059588,19.7916666666667,38.8235294117647,7.89473684210526,45474,4.45344129554656,86.8421052631579,11.6564417177914,0.3297
"G08052350",541,"Mountain View","CO",0,39.7747762,-105.056711,9.93975903614458,52.7310924369748,4.76190476190476,50547,4.69897209985316,94.1391941391941,1.26903553299492,0.3274
"G08052550",1264,"Mountain Village","CO",0,37.9324164,-107.8577366,42.4849699398798,56.6284779050737,16.800920598389,80843,22.0606826801517,77.3302646720368,5.48187444739169,0.6692
"G08052570",941,"Mount Crested Butte","CO",0,38.9083021,-106.9605872,53.415061295972,79.2452830188679,8.7248322147651,61454,6.78941311852704,95.5257270693512,0,0.4062
"G08053120",485,"Naturita","CO",0,38.2183441,-108.5666329,3.24324324324324,8.64864864864865,21.6216216216216,25401,8.97703549060543,51.3513513513513,0,0.5059
"G08053175",1471,"Nederland","CO",0,39.9638145,-105.5058636,24.8484848484848,62.2950819672131,0,66603,5.23708421797594,89.3267651888342,2.54424778761062,0.4546
"G08053395",4923,"New Castle","CO",0,39.5776452,-107.5264527,28.3044667274385,41.1744622738136,7.560706401766,34679,18.3011899876898,97.682119205298,2.7027027027027,0.3819
"G08054330",38131,"Northglenn","CO",0,39.9116661,-104.9821365,14.1057110129275,23.8574111754578,9.3054287520191,35595,8.92058535552674,89.6762413090807,4.14490861618799,0.4009
"G08054880",535,"Norwood","CO",0,38.129042,-108.2918132,29.4354838709677,29.6587926509186,15.450643776824,28060,22.7598566308244,76.3948497854077,10.5431309904153,0.4298
"G08054935",585,"Nucla","CO",0,38.2666869,-108.5486946,24.468085106383,16.4882226980728,21.3286713286713,24648,17.0347003154574,66.4335664335664,10.0456621004566,0.4103
"G08055045",504,"Nunn","CO",0,40.7137533,-104.7888845,7.17948717948718,11.8032786885246,10.1123595505618,38405,7.52941176470588,91.0112359550562,4.36681222707424,0.3555
