GISJOIN,target
G36057639,[]
G36057639,"['SDG13_general', 'SDG13_2', 'SDG3_general', 'SDG15_general']"
G36057639,[]
G36057639,[]
G36057639,['SDG7_3']
G36057639,"['SDG13_general', 'SDG13_2', 'SDG7_3']"
G36057639,[]
G36057639,"['SDG13_general', 'SDG13_3', 'SDG15_8', 'SDG13_b']"
G36057639,"['SDG13_general', 'SDG6_5']"
G49067440,[]
G49067440,[]
G49067440,['SDG11_3']
G49067440,[]
G49067440,[]
G49067440,['SDG13_general']
G49067440,['SDG13_general']
G49067440,[]
G49067440,[]
G49067440,[]
G49067440,[]
G49067440,"['SDG13_general', 'SDG13_2']"
G49067440,[]
G49067440,[]
G49067440,['SDG12_4']
G49067440,"['SDG13_general', 'SDG6_4']"
G49067440,[]
G49067440,[]
G49067440,[]
G49067440,[]
G49067440,[]
G49067440,[]
G49067440,[]
G49067440,[]
G49067440,[]
G49067440,[]
G49067440,[]
G49067440,[]
G49067440,[]
G49067440,[]
G49067440,[]
G49067440,[]
G49067440,[]
G49067440,[]
G49067440,[]
G49067440,[]
G49067440,"['SDG13_2', 'SDG7_general', 'SDG7_3', 'SDG11_3', 'SDG11_6']"
G49067440,[]
G49067440,"['SDG13_general', 'SDG13_3', 'SDG13_2']"
G49067440,"['SDG1_4', 'SDG2_3', 'SDG13_general']"
G49067440,"['SDG13_2', 'SDG6_4', 'SDG7_3', 'SDG13_general', 'SDG13_3']"
G49067440,[]
G49067440,[]
G49067440,[]
G49067440,[]
G49067440,[]
G49067440,[]
G49067440,[]
G49067440,[]
G49067440,[]
